,0,1,2,3,4,5,6
0,IRONIA,1509136324028243968,2022-08-08T01:08:23Z,1556447194521239558,pt,0," 
 
 argenta chamar   simon   responder   pergunta\n\n#debatenabandrs"
1,NEGATIVO,1455004730,2022-08-08T01:08:20Z,1556447184580747264,pt,0," 
 
eiredo @evertonvf @bandrs eduardo_leite
    gostam governador atual     posto   combustivel paguem   valor   reducao icms pois   governador   quer reducao"
2,CONTEXTO,1230679135778983936,2022-08-08T01:08:20Z,1556447182064128000,und,0," 
 
oleite_ "
3,POSITIVO,116829646,2022-08-08T01:08:19Z,1556447176842268674,pt,41," 
 
ernamos  rio grande sul   @olivio_dutra   @tarsogenro     nunca aumentamos impostos nunca vendemos   patrimonio   gauchos   atrasamos   salario   servidores ] \n#lulaolivioprettoruas #debatenabandrs"
4,NEGATIVO,337744562,2022-08-08T01:08:18Z,1556447174124310528,pt,1," 
 
ixadois
 confesso  pode falar   corrupcao \no fecho edegarrrrr #lulaolivioprettoruas #debatenabandrs"
5,NEGATIVO,2336691999,2022-08-08T01:08:17Z,1556447171561529345,pt,0," 
 
renzoni  gente   bem   mesma     intolerante   mata   preferencia politica\n\ncruzes"
6,NEGATIVO,124157459,2022-08-08T01:08:10Z,1556447142461538307,pt,77," 
 
arpretto direto    onix   poderia ficar horas aqui falando   obras pac rs   obra   governo bolsonaro fez estado bolsonaro   faz obra   espalha   odio fome   o desemprego""\n\n#lulaolivioedegarruas\n#debatenaband\n#rsqueopovoquer\n#equipevaldeci"
7,POSITIVO,334863643,2022-08-08T01:08:10Z,1556447141308108801,pt,0," 
 
l_santoss eduardo_leite
 onix governador"
8,IRONIA,39305359,2022-08-08T01:08:08Z,1556447134832115713,pt,0," 
 
ulll pigarro metade sullll pigarro... #debatenaband #debatenabandrs @bandrs"
9,IRONIA,205116171,2022-08-08T01:08:08Z,1556447134609711106,pt,0," 
 
   bala     argenta #debatenaband\n#debatenabandrs"
10,POSITIVO,1515840001635987457,2022-08-08T01:08:08Z,1556447131279425537,pt,0," 
 
pretto  @onyxlorenzoni""caixa dois confesso   pode falar   petrolao"", nada tecnico     verdadeiro"
11,IRONIA,1313793161169436672,2022-08-08T01:08:05Z,1556447122207252480,pt,0," 
 
ojobim30 @vieirapdt @edegarpretto @lulaoficial @heinzeoficial @vicentebogo @onyxlorenzoni @jairbolsonaro eduardo_leite
 @onyxlorenzoni usa  pergunta   roberto argenta   questionar   defender familias   vida   cidades   algo assim   roberto argenta     garganta seca fala   incentivos empresas     metade sul     eldorado brasileiro"" #debatenabandrs"
12,IRONIA,42321168,2022-08-08T01:08:05Z,1556447121947115520,pt,0," 
 
denmeyer @edegarpretto  falta assessorar melhor     falar tema   educacao"
13,NEGATIVO,17231726,2022-08-08T01:08:05Z,1556447119720030208,pt,0," 
 
au @onyxlorenzoni falar   verdade sendo governo @jairbolsonaro    fala sete mentiras   dia   propagou fake news anti vacina deixando centenas   milhares   mortos pais\n#lulaolivioprettoruas\n#debatenabandrs"
14,POSITIVO,2235596608,2022-08-08T01:08:03Z,1556447110769303553,pt,16," 
 
_dutra  @tarsogenro   venderam patrimonio publico   aumentaram impostos   fizeram pesados investimentos   setores produtivos dessa forma   pib rs subiu acima   media pib nacional naquele periodo #debatenabandrs #lulaolivioprettoruas"
15,NEGATIVO,118507192,2022-08-08T01:08:01Z,1556447103261593600,pt,0," 
 
 braco auxiliar   reeleicao bolsocorro fica claro     polaridade     pt vai perder onyx ganhou petista ventriloquo       patetico amostra     dara debate nacional #debatenabandrs"
16,NEGATIVO,1220903256840450050,2022-08-08T01:08:00Z,1556447097423110144,pt,0," 
 
uer ouvir   onyx   muita tortura   cara     nojento\n\n#debatenabandrs"
17,NEGATIVO,1216916857858461698,2022-08-08T01:07:58Z,1556447090708029440,pt,0," 
 
nabandrs @edegarpretto desmascarando  usei caixadois
   peco desculpas"""
18,NEUTRO,25846246,2022-08-08T01:07:55Z,1556447079161118720,pt,0," 
 
gc     nome   partido candidato poderia ficar durante toda fala dele\n\nprincipalmente nesse primeiro debate     povo ainda   decorou caras   nomes\n\n#debatenaband #debatenabandrs @ozirismg"
19,IRONIA,1068641519224147969,2022-08-08T01:07:55Z,1556447079131643905,pt,0," 
 
    presidente   governador hein onyx \n#debatenabandrs"
20,IRONIA,84330177,2022-08-08T01:07:55Z,1556447078934519809,pt,0," 
 
ouco salta  belo catarro   microfones #debatenabandrs   tosse       candidatos "
21,NEGATIVO,82143155,2022-08-08T01:07:53Z,1556447071644819457,pt,32," 
 
ixadois
 confesso  pode falar   corrupcao""\n\n@edegarpretto veio reto onyx\n\n#debatenabandrs #lulaolivioedegarruas"
22,NEGATIVO,984872050518118400,2022-08-08T01:07:51Z,1556447060202819585,pt,0," 
 
oleite_ gracas  governo federal faltou   ai"
23,NEGATIVO,1387015879154614277,2022-08-08T01:07:48Z,1556447048815284226,pt,0," 
 
oleite_ eduardo_leite
    bobo nada   foca agora conquistar   eleitorado feminino   potencial antagosita   bolsonarismo     proprio apoiou   2018\n\neduardo mulheres     protagonismo cidadao   plebiscitos   eliminaste"
24,POSITIVO,232917321,2022-08-08T01:07:47Z,1556447046080528384,pt,0," 
 
pretto ta  bem debate trouxe   legado   governo pt atacou   firmeza     caiu   contradicoes"
25,NEGATIVO,392286657,2022-08-08T01:07:47Z,1556447044943990787,pt,0," 
 
oleite_  quebrar empresas usou   dinheiro governo federal   venho   saude     promover dizendo   colocou contas   dia enquanto muitos gauchos morriam   filas   hospitais"
26,POSITIVO,1372642583063752708,2022-08-08T01:07:43Z,1556447029668335617,pt,142," 
 
r  chave   ouro   @edegarpretto lavou alma povo gaucho   13 viva lula viva   pt vai   primeiro turno #debatenabandrs #lulaolivioprettoruas #lulaolivioedegarruas "
27,IRONIA,1478206531162226695,2022-08-08T01:07:43Z,1556447028514902016,pt,0," 
 
pretto @lulaoficial @pedroruaspsol @olivio_dutra bem acompanhado  governador"
28,NEGATIVO,29994116,2022-08-08T01:07:41Z,1556447021556547585,pt,121," 
 
t  coloca educacao   prioridade eduardo_leite
     mundo   vives   desafio sair ruas   perguntar   povo gaucho       partido   educacao   garanto   ouviras verdade     pdt"
29,NEGATIVO,342047515,2022-08-08T01:07:39Z,1556447012266164224,pt,0," 
 
ntiroso frita  @vieirapdt #debatenabandrs"
30,NEUTRO,2235596608,2022-08-08T01:07:39Z,1556447011523756032,pt,0," 
 
abalhador  dinheiro bolso vai comprar   consumir     aumentar demanda   roda   economia girar"" @edegarpretto   lembrar ciclo   crescimento   distribuicao   renda   epoca   @lulaoficial   @dilmabr #debatenabandrs #lulaolivioprettoruas"
31,NEGATIVO,2300150357,2022-08-08T01:07:38Z,1556447005655928832,pt,0," 
 
mente        estomago   aturar onix cx2 heinze cloroquina dudu eduardo_leite
   outros bostas aqui rs somente @edegarpretto   dar   alento"
32,NEGATIVO,995632249,2022-08-08T01:07:33Z,1556446987700019200,pt,0," 
 
 @edegarpretto sobre  marca   chuveiro   espetacular caixadois
 confesso   pode falar   corrupcao    "
33,NEUTRO,1058037270186475521,2022-08-08T01:07:32Z,1556446981203058691,pt,0," 
 
 diz    preciso esforco   manter empresas rs         indo embora diz   precisa estimulo       fiquem   invistam   metade sul #debatenabandrs"
34,POSITIVO,1361132877673603075,2022-08-08T01:07:32Z,1556446980687253505,pt,1," 
 
didato governo estado @vieirapdt    preparado   governar     rio grande   mostrando   debate   @bandrs "
35,NEGATIVO,1346996301007781890,2022-08-08T01:07:30Z,1556446972093005826,pt,0," 
 
oleite_ vc mente escolas  5em luz     banheiros     agua alias n   tendo aulas normais pq alem   faltar infraestrutura faltam professores q nojo"
36,NEUTRO,188079877,2022-08-08T01:07:28Z,1556446965478686722,pt,0," 
 
abrizola @vieirapdt  entendi\n\nele disse   pagar salarios integrais     minimo         secretario governo sartori     salarios   parcelados"
37,POSITIVO,1191543222247534594,2022-08-08T01:07:22Z,1556446938333151234,es,0," 
 
nabandrs\nfechada  @edegarpretto "
38,IRONIA,1143942487,2022-08-08T01:07:21Z,1556446936345067521,pt,1," 
 
 suar   implante novo q fez \n\n#debatenabandrs #lulaolivioprettoruas "
39,NEGATIVO,31426392,2022-08-08T01:07:20Z,1556446930577899520,pt,0," 
 
renzoni disse  rio grande   acostumado   homens   honra   palavra"" ah ta   fala   homem   novo aponta homofobia explicita     fala\ne   tal homem   bem""           caixadois
 perdoado   sergio moro o marreco fbi\n#debatenabandrs"
40,NEGATIVO,52733007,2022-08-08T01:07:12Z,1556446897665179648,pt,2," 
 
ao aqui acaba  dizer pro @edegarpretto   roubaram   brasil""\n\na cara   pau   bolsonaristas     limites "
41,NEGATIVO,1492699526628528134,2022-08-08T01:07:11Z,1556446893374414848,pt,0," 
 
renzoni kkk

 lambe-botas povo gaucho  cara ai jamais"
42,CONTEXTO,1537144596152700931,2022-08-08T01:07:07Z,1556446878564327424,qme,5," 
 
ivioprettoruas\n#debatenabandrs "
43,IRONIA,304418513,2022-08-08T01:07:07Z,1556446877045760001,pt,0," 
 
 argenta lutando contra  pigarro #debatenabandrs"
